,gini_clf,permutation_clf,correlations_clf,gini_clf_rank,permutation_clf_rank,correlations_clf_rank,gini_reg,permutation_reg,correlations_reg,gini_reg_rank,permutation_reg_rank,correlations_reg_rank
AT,0.0035246721357777865,0.0019086879182313777,0.028785112731369283,20.0,20.0,14.0,0.004005770607977503,0.008727202946985957,-0.035759122522667865,16.0,16.0,16.0
CA,0.005936269007147294,0.008549566592314439,0.04368398673584314,19.0,16.0,11.0,0.0023793270916620235,0.004957743083280786,-0.0466571312902856,19.0,20.0,11.0
CH,0.016476979796637748,0.012649292712539218,0.09383574065052057,14.0,13.0,5.0,0.008985429871409852,0.026790782551835323,-0.08833336911486311,14.0,14.0,7.0
DE,0.023666374344017686,0.01990569500522351,0.03643353564165897,9.0,9.0,13.0,0.019754157129697185,0.0801269059273146,0.09976348809063255,7.0,7.0,6.0
GB,0.009212612838685266,0.007804161843182689,0.0,16.0,17.0,20.0,0.011135356496379294,0.029519209067005968,0.048520492774748916,11.0,12.0,9.0
IT,0.006245333434840203,0.003478555495948288,0.07613463653989598,18.0,19.0,7.0,0.0023984020939284098,0.0067192498584229265,-0.013719283463792682,18.0,18.0,20.0
NL,0.009280037577514055,0.009876612925996042,0.0025371684124579135,15.0,15.0,17.0,0.006994795145202882,0.019487656955934896,-0.10344996068175101,15.0,15.0,5.0
NO,0.008391945007894766,0.0038343168534884843,0.07514871898756315,17.0,18.0,8.0,0.0029809487858589064,0.005660318424543498,-0.03740301212439747,17.0,19.0,14.0
RU,0.021857213537128193,0.010935426490103628,0.13406169592082529,10.0,14.0,3.0,0.001564617451743012,0.007452011793518054,-0.017414419337092493,20.0,17.0,19.0
US,0.02102585937082594,0.022582375695287593,0.07772361490692209,11.0,7.0,6.0,0.009645271600897254,0.03380184754795455,0.04078973397803212,13.0,11.0,12.0
autumn,0.02478852533430676,0.018767823361662495,0.03866692762466435,7.0,10.0,12.0,0.013330201279390191,0.03995980387706031,0.04980580755632184,9.0,9.0,8.0
spring,0.019291047416495368,0.012909054973600276,0.0014403320758021758,12.0,12.0,18.0,0.010962208755617035,0.03461455422373668,-0.04820593232383913,12.0,10.0,10.0
summer,0.01861506254988223,0.016559844142643387,0.015942583459309073,13.0,11.0,16.0,0.013191562459933963,0.02800147914497785,-0.03058177004473514,10.0,13.0,17.0
winter,0.024633961539882458,0.022257672868961277,0.051526754258401634,8.0,8.0,10.0,0.015881838317825237,0.04589376144090966,0.027890432837897567,8.0,8.0,18.0
Male,0.03810304322531545,0.04384899906824409,0.0643394206075224,6.0,6.0,9.0,0.033155737636983845,0.1521008714035865,-0.040551842664073266,6.0,5.0,13.0
question4,0.09124944181004162,0.11408645565688795,-0.18381058761631577,4.0,4.0,1.0,0.07361243581241782,0.24562914263654925,-0.23973867034146398,4.0,4.0,2.0
question5,0.06697087134063115,0.08253098794364291,0.0007085021828499992,5.0,5.0,19.0,0.047075259419085226,0.1251797794889763,0.12353388246181395,5.0,6.0,3.0
question6,0.17449623507033007,0.16463845046164272,0.17836429418455832,2.0,3.0,2.0,0.2731327285608401,0.4875292143008109,0.38400487966381763,2.0,2.0,1.0
question7,0.16729737352631338,0.1732642516305729,-0.023147406743585636,3.0,2.0,15.0,0.14403335365881031,0.29752246129170157,-0.03709538601061728,3.0,3.0,15.0
age,0.2489371411363326,0.2977411977299037,-0.11570492923064135,1.0,1.0,4.0,0.30578059782433986,0.9331913894509798,0.11964880562355924,1.0,1.0,4.0
