Country_Name,No,Yes,n_questionnaires,n_users
"Australia, Commonwealth of",14.5%,85.5%,666,77
"Austria, Republic of",29.6%,70.4%,1321,68
"Belgium, Kingdom of",28.6%,71.4%,972,44
"Brazil, Federative Republic of",8.7%,91.3%,344,50
Canada,13.9%,86.1%,2341,126
"France, French Republic",16.6%,83.4%,467,72
"Germany, Federal Republic of",21.0%,79.0%,51804,1410
"Italy, Italian Republic",4.4%,95.6%,1220,81
"Netherlands, Kingdom of the",33.1%,66.9%,7268,180
"Norway, Kingdom of",51.3%,48.7%,1178,42
"Spain, Kingdom of",9.3%,90.7%,517,82
"Sweden, Kingdom of",18.2%,81.8%,362,38
"Switzerland, Swiss Confederation",32.8%,67.2%,5139,122
United Kingdom,20.5%,79.5%,3713,210
United States of America,12.8%,87.2%,10737,561
